station_id,day_name,hour,avg_docks
101,4,2,18.69
101,4,3,19.0
101,4,5,20.44
101,4,6,20.86
101,4,7,24.8
101,4,8,24.8
101,4,9,25.86
101,4,10,26.8
101,4,11,26.08
101,4,12,26.04
101,4,13,26.21
101,4,14,26.46
101,4,15,26.12
101,4,16,26.17
101,4,17,25.12
101,4,18,24.31
101,4,19,24.36
101,4,20,24.0
101,4,21,20.5
101,4,22,20.0
101,4,23,23.0
101,5,0,19.62
101,5,2,19.75
101,5,3,18.33
101,5,4,17.0
101,5,5,16.57
101,5,6,19.0
101,5,7,19.62
101,5,8,20.6
101,5,9,25.67
101,5,10,20.0
101,5,11,23.5
101,5,12,24.12
101,5,13,25.54
101,5,14,24.88
101,5,15,24.96
101,5,16,25.42
101,5,17,25.96
101,5,18,25.46
101,5,19,25.92
101,5,20,24.84
101,5,21,23.65
101,5,22,22.13
101,5,23,21.27
101,6,0,20.08
101,6,1,20.0
101,6,2,19.17
101,6,3,17.57
101,6,4,16.12
101,6,5,17.73
101,6,6,17.71
101,6,7,19.82
101,6,8,21.5
101,6,9,22.0
101,6,10,25.14
101,6,11,26.68
101,6,12,28.28
101,6,13,28.58
101,6,14,27.75
101,6,15,26.75
101,6,16,25.67
101,6,17,26.0
101,6,18,25.64
101,6,19,24.48
101,6,20,24.7
101,6,21,24.07
101,6,22,24.08
101,6,23,19.08
102,0,0,32.9
102,0,1,32.82
102,0,2,33.0
102,0,3,33.62
102,0,4,31.0
102,0,5,34.9
102,0,6,31.31
102,0,7,28.0
102,0,8,27.43
102,0,9,29.63
102,0,10,30.37
102,0,11,31.07
102,0,12,31.17
102,0,13,32.03
102,0,14,32.73
102,0,15,33.23
102,0,16,33.16
102,0,17,32.53
102,0,18,30.11
102,0,19,31.29
102,0,20,25.33
102,0,21,39.0
102,0,22,26.67
102,0,23,25.0
102,1,0,30.29
102,1,1,28.82
102,1,2,30.33
102,1,3,34.2
102,1,4,38.29
102,1,5,36.36
102,1,6,31.67
102,1,7,29.53
102,1,8,29.95
102,1,9,30.25
102,1,10,31.19
102,1,11,31.12
102,1,12,26.93
102,1,13,28.82
102,1,14,28.75
102,1,15,29.62
102,1,16,24.57
102,1,17,24.5
102,1,18,24.69
102,1,19,24.35
102,1,20,25.33
102,1,21,27.28
102,1,22,24.73
102,1,23,24.15
102,2,0,25.2
102,2,1,25.5
102,2,2,27.8
102,2,3,29.33
102,2,5,26.4
102,2,6,23.6
102,2,7,24.36
102,2,8,22.72
102,2,9,24.29
102,2,10,25.96
102,2,11,27.0
102,2,12,28.92
102,2,13,30.38
102,2,14,31.12
102,2,15,31.0
102,2,16,30.0
102,2,17,31.29
102,2,18,32.0
102,2,19,33.18
102,2,20,31.88
102,2,21,33.0
102,2,22,35.2
102,2,23,34.57
102,3,0,34.22
102,3,1,35.0
102,3,2,35.0
102,3,3,35.0
102,3,5,33.0
102,3,6,29.33
102,3,7,31.2
102,3,8,31.5
102,3,9,34.89
102,3,10,35.79
102,3,11,33.33
102,3,12,31.83
102,3,13,28.38
102,3,14,29.42
102,3,15,30.54
102,3,16,32.25
102,3,17,34.33
102,3,18,34.22
102,3,19,34.3
102,3,20,35.5
102,3,21,36.71
102,3,22,37.0
102,3,23,36.0
102,4,0,34.0
102,4,1,33.71
102,4,2,33.06
102,4,3,33.0
102,4,5,34.2
102,4,6,28.57
102,4,7,33.43
102,4,8,30.27
102,4,9,35.53
102,4,10,36.0
102,4,11,31.0
102,4,12,27.67
102,4,13,28.88
102,4,14,30.55
102,4,15,29.5
102,4,16,30.17
102,4,17,30.83
102,4,18,31.78
102,4,19,35.57
102,4,20,30.45
102,4,21,35.0
102,4,22,31.67
102,4,23,23.0
102,5,0,26.8
102,5,1,24.43
102,5,2,30.23
102,5,3,29.33
102,5,5,29.33
102,5,6,29.67
102,5,8,32.43
102,5,9,31.67
102,5,10,32.69
102,5,11,25.33
102,5,12,30.12
102,5,13,27.46
102,5,14,25.5
102,5,15,26.04
102,5,16,26.81
102,5,17,29.44
102,5,18,34.15
102,5,19,34.23
102,5,20,34.36
102,5,21,35.29
102,5,22,35.46
102,5,23,34.67
102,6,0,37.46
102,6,1,33.6
102,6,2,29.25
102,6,3,26.5
102,6,5,36.44
102,6,6,35.23
102,6,7,35.0
102,6,8,35.13
102,6,9,39.55
102,6,10,38.7
102,6,11,38.96
102,6,12,38.3
102,6,13,35.57
102,6,14,33.21
102,6,15,34.73
102,6,16,34.35
102,6,17,35.4
102,6,18,37.0
102,6,19,36.5
102,6,20,36.12
102,6,21,37.29
102,6,22,36.0
102,6,23,33.29
103,0,0,38.6
103,0,1,39.86
103,0,2,39.5
103,0,3,39.5
103,0,5,37.75
103,0,7,36.14
103,0,8,36.96
103,0,9,37.5
103,0,10,37.77
103,0,11,38.4
103,0,12,37.73
103,0,13,37.8
103,0,14,38.13
103,0,15,38.39
103,0,16,38.62
103,0,17,38.68
103,0,18,38.17
103,0,19,37.68
103,0,20,37.73
103,0,21,38.14
103,1,0,38.5
103,1,1,40.0
103,1,2,40.0
103,1,3,40.0
103,1,4,40.0
103,1,5,39.62
103,1,6,38.64
103,1,7,38.62
103,1,8,38.08
103,1,9,37.48
103,1,10,37.57
103,1,11,37.13
103,1,12,36.0
103,1,13,36.75
103,1,14,37.17
103,1,15,38.11
103,1,16,37.81
103,1,17,37.72
103,1,18,37.65
103,1,19,37.23
103,1,20,37.82
103,1,21,38.38
103,1,22,39.0
103,1,23,38.0
103,2,0,37.88
103,2,1,37.0
103,2,2,37.0
103,2,3,37.5
103,2,4,38.0
103,2,5,38.5
103,2,6,38.0
103,2,7,38.0
103,2,8,38.17
103,2,9,34.35
103,2,10,32.0
103,2,11,31.33
103,2,12,31.89
103,2,13,33.47
103,2,14,33.33
103,2,15,33.06
103,2,16,32.26
103,2,17,32.79
103,2,18,31.43
103,2,19,33.67
103,2,20,33.0
103,2,21,23.0
103,2,22,36.6
103,2,23,40.0
103,3,0,37.89
103,3,1,37.57
103,3,2,37.57
103,3,3,29.8
103,3,4,23.0
103,3,5,27.0
103,3,6,29.0
103,3,7,29.87
103,3,8,32.05
103,3,9,33.17
103,3,10,33.5
103,3,11,33.04
103,3,12,32.38
103,3,13,33.5
103,3,14,35.88
103,3,15,38.0
103,3,16,37.26
103,3,17,39.1
103,3,18,39.8
103,3,19,38.25
103,3,20,39.11
103,3,21,39.0
